epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.1914214789867401,4.760993003845215,0.001,0.2010638266801834,3.0118837356567383
1,0.2949308753013611,3.1491713523864746,0.001,0.07446808367967606,3.3286731243133545
2,0.4182913899421692,2.6903178691864014,0.001,0.07765957713127136,4.583494663238525
3,0.41439205408096313,2.8819727897644043,0.001,0.23723404109477997,4.264057159423828
4,0.5324352979660034,2.259762763977051,0.001,0.18297871947288513,17.234655380249023
5,0.5101028084754944,2.4360082149505615,0.001,0.2851063907146454,8.544289588928223
6,0.5994328260421753,2.0507516860961914,0.001,0.23404255509376526,6.078327655792236
7,0.6706841588020325,1.6816236972808838,0.001,0.2744680941104889,3.424609899520874
8,0.7614321112632751,1.3715518712997437,0.001,0.27553191781044006,4.346615314483643
9,0.7047146558761597,1.4425301551818848,0.001,0.3574468195438385,3.5277485847473145
10,0.7600141763687134,1.2942148447036743,0.001,0.1457446813583374,10.920283317565918
11,0.5678837299346924,2.0196244716644287,0.001,0.32446807622909546,4.383703231811523
12,0.7610776424407959,0.9134156703948975,0.001,0.27978724241256714,4.877544403076172
13,0.8603332042694092,0.557056188583374,0.001,0.27978724241256714,4.0071940422058105
14,0.9053527116775513,0.3431810736656189,0.001,0.41914892196655273,3.58063006401062
15,0.9312300682067871,0.28268349170684814,0.001,0.4893617033958435,2.762059211730957
16,0.9113789200782776,0.33027949929237366,0.001,0.577659547328949,2.3042361736297607
17,0.8578518033027649,0.5983169078826904,0.001,0.346808522939682,7.4433488845825195
18,0.867777407169342,0.575782835483551,0.001,0.4680851101875305,3.7229130268096924
19,0.9322935342788696,0.25384289026260376,0.001,0.5606383085250854,2.2022604942321777
20,0.9443459510803223,0.21235892176628113,0.001,0.43191489577293396,3.4514384269714355
21,0.8649415373802185,0.6161177158355713,0.001,0.14042553305625916,11.60218334197998
22,0.8085784912109375,0.8067773580551147,0.001,0.18297871947288513,30.574201583862305
23,0.7624955773353577,0.9853432774543762,0.001,0.1978723406791687,6.834575653076172
